,phrase,intents
235,flights from columbus to milwaukee,atis_flight
236,i want to go from denver to atlanta round trip and make a stop at pittsburgh is this possible,atis_flight
237,list all flights from new york to las vegas that fly nonstop on sunday and list flights from memphis to las vegas that fly nonstop on sunday,atis_flight
238,what are all flights from boston to denver,atis_flight
239,list all round trip fares from phoenix to washington,atis_airfare
240,show me all the one way fares from tacoma to montreal,atis_airfare
241,what is lowest cost air fare available for a flight from dallas to baltimore arriving on july fourth,atis_airfare
242,i'd like the flights from san jose to nashville on the morning of friday june third,atis_flight
243,all round trip flights between new york and miami that are first class,atis_flight
244,flight from denver to philadelphia,atis_flight
245,a one way flight from boston to san francisco please,atis_flight
246,show me flights from milwaukee to orlando on thursday morning,atis_flight
247,what is the meaning of restriction ap80,atis_abbreviation
248,show me all flights from charlotte to philadelphia,atis_flight
249,please find the cheapest fare from boston to san francisco,atis_airfare
250,are there any flights next monday morning from pittsburgh to san francisco,atis_flight
251,atlanta ground transportation,atis_ground_service
252,what city is the airport mco in,atis_city
253,show me the nonstop flights from nashville to st. louis,atis_flight
254,flights from milwaukee to phoenix on saturday or sunday american airlines,atis_flight
255,please show me all round trip flights from new york to miami,atis_flight
256,what is the earliest flight between boston and washington,atis_flight
257,i would like to book on delta airlines their earliest possible flight from washington dc to san francisco,atis_flight
258,show me flights from dallas to baltimore,atis_flight
259,list flights from denver to philadelphia,atis_flight
260,show me the type of aircraft that cp uses,atis_aircraft
261,show me flights from milwaukee to orlando on wednesday after 6 pm,atis_flight
262,i'd like to fly from denver to pittsburgh with a stop in atlanta,atis_flight
263,give me all flights from boston to philadelphia next week arriving after lunch,atis_flight
264,flights from atlanta to dallas in the afternoon,atis_flight
265,what flights from atlanta to toronto,atis_flight
266,american flights from chicago to los angeles morning,atis_flight
267,flight from denver to boston,atis_flight
268,i would like to fly from denver to atlanta by way of pittsburgh,atis_flight
269,list all round trip flights from orlando to kansas city,atis_flight
270,show me the car rentals in baltimore,atis_ground_service
271,airline and flight number from columbus to minneapolis,"atis_airline,atis_flight_no"
272,show me the flights from san diego to newark,atis_flight
273,i need a flight to atlanta this afternoon,atis_flight
274,i want to fly boston to san francisco,atis_flight
275,explain restriction ap please,atis_abbreviation
276,i need a flight from san francisco to boston that leaves after 8 pm,atis_flight
277,what's the earliest flight from san jose to houston,atis_flight
278,i want to arrive in detroit around 6 pm and i'm leaving from chicago,atis_flight
279,what's the cheapest fare from san francisco to baltimore,atis_airfare
280,all flights from baltimore to philadelphia less than 1000 dollars,atis_flight
281,denver to atlanta,atis_flight
282,find travel arrangements for a round trip flight from boston to pittsburgh,atis_flight
283,can you give me a list of the flights from atlanta to boston,atis_flight
284,please show me ground transportation in denver,atis_ground_service
285,please give me all flights from long beach to memphis,atis_flight
286,what flights are there from milwaukee to phoenix on saturday,atis_flight
287,list flights between denver and pittsburgh,atis_flight
288,information on flights from pittsburgh to philadelphia,atis_flight
289,what flights from orlando to tacoma on saturday,atis_flight
290,i need flights that arrive in baltimore from pittsburgh,atis_flight
291,list all nonstop flights from los angeles to pittsburgh before 5 pm on tuesday,atis_flight
292,list the cheapest flight from charlotte to memphis,atis_flight
293,please list the flights from philadelphia to toronto,atis_flight
294,list types of aircraft that fly between boston and san francisco,atis_aircraft
295,when are the american flights from phoenix to milwaukee,atis_flight
296,is there a delta flight from denver to san francisco,atis_flight
297,is there a delta flight from boston to denver,atis_flight
298,show me all flights from denver to san francisco,atis_flight
299,please list the american airlines flights from houston to milwaukee,atis_flight
300,find travel arrangements for a round trip flight from baltimore to pittsburgh,atis_flight
301,i'd like a flight on july ninth from orlando to kansas city in the afternoon,atis_flight
302,show me round trip fares from new york to miami,atis_airfare
303,list all flights from washington dc to tampa florida,atis_flight
304,what flights go from boston to atlanta next tuesday,atis_flight
305,i'm requesting flight information on a flight from san francisco to pittsburgh on friday,atis_flight
306,list the flights from salt lake city to st. petersburg,atis_flight
307,show me all the saturday flights from pittsburgh to baltimore,atis_flight
308,what are the flights available after 6 pm between san francisco and boston,atis_flight
309,which airlines fly from bwi to dallas fort worth,atis_airline
310,i'd like to know the earliest flight from boston to atlanta,atis_flight
311,may i see all the flights from washington to san francisco please,atis_flight
312,what is the cheapest round trip flight from atlanta to pittsburgh,atis_flight
313,show flights from memphis to las vegas,atis_flight
314,i would like a flight leaving from boston arriving in san francisco with a stopover in atlanta,atis_flight
315,show me the flights from boston to oakland,atis_flight
316,what's the smallest plane that flies from pittsburgh to baltimore on eight sixteen,atis_aircraft
317,i'd like a flight from montreal to san diego for sunday,atis_flight
318,is there ground transportation from the airport to downtown phoenix,atis_ground_service
319,what is the cheapest way to fly from denver to oakland,atis_flight
320,does midwest express serve montreal,atis_flight
321,show me one way flights from tampa to st. louis departing before 10 am first class,atis_flight
322,i need a listing of flights from kansas city missouri to salt lake city utah,atis_flight
323,list all the landings at general mitchell international,atis_flight
324,what is the least expensive fare from baltimore to san francisco leaving on september thirtieth,atis_airfare
325,show me all the us air flights leaving pittsburgh between 12 and 4 in the afternoon,atis_flight
326,can you list the cheapest round trip fare from orlando to kansas city,atis_airfare
327,i want information on flights from atlanta to washington dc give me information on flights after 4 pm on wednesday,atis_flight
328,are there any flights from atlanta to denver,atis_flight
329,show me the cities served by canadian airlines international,atis_city
330,i want to fly from boston to san francisco,atis_flight
331,show me all flights from atlanta to san francisco which leave the day after tomorrow after 5 o'clock pm,atis_flight
332,show me all the twa flights from indianapolis to houston that arrive around 11 am,atis_flight
333,what type of aircraft flies from pittsburgh to baltimore,atis_aircraft
334,show me all flights from denver to burbank,atis_flight
335,show me the flights from san diego to newark,atis_flight
336,what is airline nw,atis_airline
337,next sunday flights from miami to cleveland after 1200 hours,atis_flight
338,show me flights from washington to boston on friday,atis_flight
339,what flights do you have leaving boston going to san francisco,atis_flight
340,flight from nashville to cleveland,atis_flight
341,what flights are there arriving in chicago on continental after 11 pm,atis_flight
342,what economy flights are available from dallas to baltimore on july twenty fifth 1991,atis_flight
343,give me flights that arrive in baltimore from atlanta,atis_flight
344,show me the flights from boston to oakland,atis_flight
345,give me the cheapest flight from dallas to baltimore on saturday,atis_flight
346,i would like the cheapest flight from boston to san francisco,atis_flight
347,on august thirtieth please schedule me on a flight from denver to san francisco early in the morning,atis_flight
348,what delta flights from cincinnati to new york city arrive at new york city before 6 pm on saturday,atis_flight
349,all united airlines flights with stopovers in denver,atis_flight
350,show flights from san francisco to denver on wednesday and thursday,atis_flight
351,i'll need a rental car at the atlanta airport can you show me what's available,atis_ground_service
352,does eastern airlines fly early in the morning between logan and bwi,atis_flight
353,show me flights leaving from dallas to baltimore,atis_flight
354,what does mco stand for,atis_abbreviation
355,show me the flight that leaves philadelphia in the afternoon and arrives in the evening in denver,atis_flight
356,i would like to fly from boston to baltimore please tell me what are the times of the flights,atis_flight
357,show me the flights into love field,atis_flight
358,earliest flight from atlanta to philadelphia,atis_flight
359,please show me flights available from pittsburgh to atlanta on a weekday,atis_flight
360,list nonstop flights from baltimore to newark on wednesday before noon,atis_flight
361,what airlines have flights from baltimore to seattle,atis_airline
362,may i fly from san francisco to baltimore,atis_flight
363,give me us air flights for next wednesday from cleveland to miami,atis_flight
364,please list the rental car information in pittsburgh,atis_ground_service
365,please give all flights from dallas to oakland california monday,atis_flight
366,please show me flights which cost less than or equal to 466 dollars from new york to miami leaving on a tuesday,atis_flight
367,i need a flight from pittsburgh to boston on wednesday the fourteenth,atis_flight
368,morning flight from oakland to dallas,atis_flight
369,show me the flights from all airports to love field,atis_flight
370,what type of aircraft leaving after 2 pm from boston to oakland,atis_aircraft
371,information on american airlines from washington to fort worth,atis_flight
372,show me all the flights arriving around noon in washington dc from denver,atis_flight
373,show me all the united airlines flights leaving dallas,atis_flight
374,i want a flight from milwaukee to orlando one way leaving after 5 pm on wednesday,atis_flight
375,how many fare codes belong to economy class,atis_quantity
376,what is the seating capacity of a boeing 767,atis_capacity
377,information on flights from atlanta to washington dc departing on thursday before 9 am,atis_flight
378,find me the earliest flight from boston to atlanta and the latest return from atlanta to boston within the same day,atis_flight
379,chicago to milwaukee,atis_flight
380,list all nonstop flights from los angeles to pittsburgh which arrive before 5 pm on tuesday,atis_flight
381,what flights from salt lake city to new york city arrive next saturday before 6 pm,atis_flight
382,show me all the flights arriving in charlotte around 5 pm next monday please,atis_flight
383,show me return flights from cincinnati to salt lake city nonstop,atis_flight
384,what's the price of the least expensive first class round trip ticket on us air from cleveland to miami,atis_airfare
385,what is the cost of united airlines flight 415 from chicago to kansas city thursday night,atis_airfare
386,show me a list of flights from boston to dc arriving before 9 am on july twenty second,atis_flight
387,show me all flights from boston to dfw,atis_flight
388,what pm flights are available from philadelphia to pittsburgh,atis_flight
389,flights from pittsburgh to newark,atis_flight
390,show me first class airlines from san francisco to pittsburgh on next tuesday first class only,atis_airline
391,list for me only the united flights between denver and oakland,atis_flight
392,what flights are there arriving in chicago after 9 pm on continental,atis_flight
393,show me the flights from pittsburgh to san francisco on friday,atis_flight
394,what's the schedule of flights from atlanta to boston on august first,atis_flight_time
395,what kind of airplane goes from philadelphia to san francisco monday stopping in dallas in the afternoon first class flight,atis_aircraft
396,i would like an afternoon flight from denver colorado to dallas texas,atis_flight
397,what's the lowest one way fare from pittsburgh to denver,atis_airfare
398,i would like one flight from kansas city to st. paul arriving around dinnertime 6 pm,atis_flight
399,i would like to see all flights from baltimore to philadelphia,atis_flight
400,can you show me flights that are economy class from baltimore to dallas,atis_flight
401,i'm interested in a flight on american airlines from dallas to washington,atis_flight
402,what does co mean,atis_abbreviation
403,i'd like to see all flights from baltimore to philadelphia,atis_flight
404,please list the flights from st. paul to kansas city on friday night that serve meals,atis_flight
405,flights from memphis to seattle,atis_flight
406,show me continental flights from chicago to seattle on saturday morning,atis_flight
407,show me all flights from pittsburgh to boston which leave before noon,atis_flight
408,what does mco stand for,atis_abbreviation
409,show all flights between san francisco and philadelphia for september fifteenth,atis_flight
410,flights from newark to boston,atis_flight
411,what is the last flight from washington to boston,atis_flight
412,what's the last flight from atlanta to boston,atis_flight
413,what's the cheapest flight from pittsburgh to san francisco on friday,atis_flight
414,weekday flights from san francisco to denver,atis_flight
415,i am interested in a flight on an aircraft number 727 i would like to go from washington to atlanta,atis_flight
416,show me all flights from denver to baltimore,atis_flight
417,show me all flights from denver or philadelphia or pittsburgh to baltimore,atis_flight
418,explain the restriction ap 57,atis_abbreviation
419,i'd like to travel from boston to baltimore on us air 269 please tell me the times,atis_flight
420,show flights from pittsburgh into san francisco,atis_flight
421,what are the costs of flights from dallas to boston tomorrow,atis_airfare
422,show me the ground transportation in the salt lake city airport,atis_ground_service
423,what is the cheapest flight from long beach to memphis,atis_flight
424,i would like to fly from pittsburgh to san francisco,atis_flight
425,list flights from san jose to houston next sunday,atis_flight
426,nonstop flights seattle to boston,atis_flight
427,i would like information on ground transportation in atlanta from the airport to the city in the morning around 9 am,atis_ground_service
428,i need to fly from dallas to san francisco and be in san francisco by 4 pm,atis_flight
429,i want a evening flight from dallas to milwaukee,atis_flight
430,what is the least expensive business class flight between boston and san francisco,atis_flight
431,give me a flight from philadelphia to denver on sunday,atis_flight
432,flights from newark new jersey to minneapolis,atis_flight
433,what is the earliest flight from denver to san francisco on the morning of august twenty seventh,atis_flight
434,flights between boston and philadelphia that arrive after 2 o'clock and before 5 o'clock on tuesday,atis_flight
435,does american airlines offer a flight from boston to oakland which stops in denver,atis_flight
436,what are the different classes of service and the prices for us air,atis_airfare
437,which nonstop flight from atlanta to oakland leaves in the afternoon and arrives at 5 pm,atis_flight
438,show me the flights from san francisco to newark that leave after 11 pm,atis_flight
439,what's the cheapest way to fly between atlanta and denver,atis_flight
440,show me the type of aircraft that canadian airlines uses,atis_aircraft
441,show me the flights from denver to westchester county,atis_flight
442,show me all flights arriving to denver from oakland,atis_flight
443,flights from pittsburgh to baltimore between 10 am and 2 pm,atis_flight
444,show me the price of all flights from atlanta to washington dc,atis_airfare
445,display all flights leaving from toronto to san diego on us air laying over in washington dc,atis_flight
446,what is the fare on november seventh going one way from dallas to san francisco,atis_airfare
447,i would like the time your earliest flight from washington to philadelphia,atis_flight_time
448,what is the cheapest ticket from baltimore to san francisco on friday august thirtieth,atis_airfare
449,what flights are there from dallas to pittsburgh on monday morning,atis_flight
450,i would like to fly from pittsburgh to atlanta,atis_flight
451,list all united flights from boston to san francisco with fare code qx,atis_flight
452,please give me flights available from baltimore to philadelphia,atis_flight
453,i'd like to fly from philadelphia to san francisco through dallas,atis_flight
454,i'd like to find the cheapest one way fare from baltimore to denver,atis_airfare
455,what flights are there from newark to chicago on continental,atis_flight
456,what are the flights from washington dc to denver,atis_flight
457,give me all nonstops from new york city to las vegas that arrive on a sunday,atis_flight
458,what is your last flight leaving san francisco and arriving in denver,atis_flight
459,show me all flights from boston to pittsburgh on wednesday after 6 o'clock pm,atis_flight
460,show me the dinner flights from baltimore to oakland,atis_flight
461,show me fares from dallas to baltimore that cost less than 300 dollars,atis_airfare
462,i need a round trip flight from cincinnati to san jose california,atis_flight
463,display all flights from denver to san francisco on august seven,atis_flight
464,show me all flights on thursday from atlanta to oakland which arrive in oakland before 5 o'clock pm and serve a meal,atis_flight
465,what flights leave pittsburgh for denver on monday night,atis_flight
466,what flights arrive in chicago on sunday on continental,atis_flight
467,show me flights from anywhere to philadelphia arriving after 2100,atis_flight
468,list daily flights from boston to oakland using united airlines,atis_flight
469,please list any flights from oakland california to philadelphia on tuesday,atis_flight
470,what is the earliest flight leaving boston and going to washington on september third,atis_flight
471,show me the flights from pittsburgh to los angeles on thursday,atis_flight
472,find me the earliest flight from boston to denver that serves breakfast,atis_flight
473,is there a flight between san francisco and boston with a stopover at dallas fort worth,atis_flight
474,show me all flights from san francisco that go to boston baltimore or philadelphia,atis_flight
475,i'd like to get a flight from washington to oakland with a stopover in dallas fort worth for september fifteenth,atis_flight
476,please show me flights from philadelphia to baltimore between 10 am and 2 pm,atis_flight
477,find travel arrangements for a round trip flight from boston to pittsburgh,atis_flight
478,what's the cheapest fare for a round trip from indianapolis to orlando on december twenty seventh,atis_airfare
479,hello i'm trying to find a flight that goes from pittsburgh to denver after 2 pm,atis_flight
480,i would like to plan a flight on american airlines from boston to denver,atis_flight
481,i need to make reservations from denver to boston,atis_flight
